START
0.05
0.003, 1872, 0.33, 5092, 11.87, 8300, 3.86, 20, -8848, 16, 0.050, 11152
0.003, 1872, -0.00, 13628, 11.89, 16844, -0.00, 20, 11156, 117, 0.050, 11152
0.001, 20708, 0.33, 23948, 11.89, 27156, 3.87, 20, 11156, 97, 0.100, 31156
-0.000, 29708, -0.00, 33052, 11.89, 36260, -0.00, 29, 31160, 110, 0.100, 31156
-0.001, 40176, 0.33, 43428, 11.89, 46636, 3.87, 29, 31160, 96, 0.150, 51160
-0.001, 49212, 0.33, 52540, 11.87, 55756, 3.86, 37, 51164, 110, 0.150, 51160
-0.001, 49212, -0.00, 62500, 11.89, 65708, -0.00, 37, 51164, 100, 0.200, 71164
-0.000, 68220, 0.33, 71580, 11.87, 74788, 3.86, 44, 71164, 110, 0.200, 71164
0.002, 78584, -0.00, 81836, 11.89, 85044, -0.00, 44, 71164, 97, 0.250, 91164
0.003, 87512, 0.33, 90876, 11.89, 94100, 3.87, 50, 91168, 110, 0.250, 91164
0.003, 98072, 0.33, 101316, 11.87, 104524, 3.86, 50, 91168, 96, 0.300, 111168
0.003, 98072, 0.33, 110020, 11.89, 113244, 3.87, 55, 111172, 115, 0.300, 111168
0.002, 117304, 0.33, 120556, 11.89, 123756, 3.87, 55, 111172, 95, 0.350, 131172
0.001, 126420, -0.00, 129788, 11.89, 132996, -0.00, 60, 131176, 108, 0.350, 131172
-0.000, 137084, -0.00, 140332, 11.87, 143532, -0.00, 60, 131176, 95, 0.400, 151176
0.001, 146224, 0.33, 149580, 11.79, 152820, 3.84, 63, 151180, 107, 0.400, 151176
0.003, 156964, 0.98, 160204, 11.81, 163412, 11.54, 63, 151180, 94, 0.450, 171180
0.003, 156964, 0.65, 168988, 11.81, 172196, 7.69, 67, 171184, 114, 0.450, 171180
0.003, 176404, 0.65, 179660, 11.87, 182868, 7.73, 67, 171184, 94, 0.500, 191184
0.004, 185528, 0.98, 188876, 11.87, 192084, 11.59, 70, 191188, 108, 0.500, 191184
0.003, 196260, 0.65, 199500, 11.84, 202708, 7.71, 70, 191188, 94, 0.550, 211188
0.003, 205364, 0.98, 208708, 11.84, 211924, 11.56, 73, 211192, 108, 0.550, 211188
0.005, 216060, 0.65, 219308, 11.87, 222516, 7.73, 73, 211192, 94, 0.600, 231192
0.005, 216060, 0.98, 228060, 11.79, 231268, 11.51, 75, 231192, 114, 0.600, 231192
0.007, 235388, 0.98, 238636, 11.76, 241836, 11.48, 75, 231192, 95, 0.650, 251192
0.012, 244536, 1.30, 247900, 11.65, 251108, 15.17, 78, 251196, 107, 0.650, 251192
0.021, 255252, 1.63, 258500, 11.38, 261708, 18.53, 78, 251196, 94, 0.700, 271196
0.033, 264428, 3.91, 267748, 11.54, 270956, 45.09, 78, 251196, 108, 0.700, 271196
0.048, 275092, 5.86, 278364, 11.46, 281580, 67.17, 85, 271200, 94, 0.750, 291200
0.048, 275092, 7.81, 287180, 11.38, 290388, 88.92, 85, 271200, 113, 0.750, 291200
0.080, 294580, 9.77, 297836, 11.46, 301044, 111.95, 84, 291204, 94, 0.700, 311204
0.131, 303812, 11.39, 307132, 11.44, 310340, 130.30, 84, 291204, 107, 0.700, 311204
