START
-0.00, 492, 0.33, 3704, 11.92, 6920, 3.88, 0, -11348, 17
-0.00, 9072, 0.33, 12376, 11.92, 15584, 3.88, 0, 8756, 115
-0.00, 9072, 0.33, 20584, 11.92, 23784, 3.88, 0, 8756, 122
-0.00, 26004, 0.33, 29296, 11.92, 32512, 3.88, 0, 28760, 115
-0.00, 34724, 0.33, 38040, 11.92, 41256, 3.88, 0, 28760, 114
-0.00, 43464, 0.33, 46792, 11.92, 50016, 3.88, 0, 48764, 114
-0.00, 43464, 0.33, 55104, 11.92, 58320, 3.88, 0, 48764, 121
-0.00, 60532, 0.33, 63848, 11.92, 67048, 3.88, 0, 48764, 115
-0.00, 69304, 0.33, 72608, 11.92, 75816, 3.88, 0, 68776, 114
-0.00, 78084, 0.33, 81384, 11.92, 84592, 3.88, 0, 68776, 114
-0.00, 78084, 0.33, 89640, 11.92, 92848, 3.88, 0, 88772, 121
-0.00, 95060, 0.33, 98376, 11.92, 101584, 3.88, 0, 88772, 114
-0.00, 103872, 0.33, 107168, 11.92, 110408, 3.88, 0, 108776, 113
-0.00, 112720, 0.33, 116040, 11.92, 119248, 3.88, 0, 108776, 113
-0.00, 112720, 0.33, 124392, 11.92, 127600, 3.88, 0, 108776, 120
-0.00, 130000, 0.33, 133304, 11.92, 136512, 3.88, 0, 128776, 112
-0.00, 138816, 0.33, 142136, 11.92, 145352, 3.88, 0, 128776, 113
-0.00, 138816, 0.33, 150504, 11.92, 153712, 3.88, 0, 148780, 120
-0.00, 156072, 0.33, 159384, 11.92, 162592, 3.88, 0, 148780, 113
-0.00, 164904, 0.33, 168224, 11.92, 171432, 3.88, 0, 168784, 113
-0.00, 173740, 0.33, 177056, 11.92, 180264, 3.88, 0, 168784, 113
-0.00, 173740, 0.33, 185456, 11.92, 188664, 3.88, 0, 188788, 119
-0.00, 190988, 0.33, 194312, 11.92, 197520, 3.88, 0, 188788, 113
-0.00, 199832, 0.33, 203144, 11.92, 206352, 3.88, 0, 188788, 113
-0.00, 208728, 0.33, 212040, 11.92, 215248, 3.88, 0, 208792, 112
