 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.24 	 W: 0.81 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.24 	 W: 0.81 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.24 	 W: 0.81 	 Thr: 0 	 Hz: 85
T: 0.01 	 C: 0.65 	 V: 1.24 	 W: 0.81 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.24 	 W: 0.81 	 Thr: 0 	 Hz: 85
T: 0.01 	 C: 0.65 	 V: 1.21 	 W: 0.79 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.21 	 W: 0.79 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.21 	 W: 0.79 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.33 	 V: 1.21 	 W: 0.40 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.21 	 W: 0.79 	 Thr: 0 	 Hz: 85
T: 0.01 	 C: 0.65 	 V: 1.21 	 W: 0.79 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.19 	 W: 0.77 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.19 	 W: 0.77 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.33 	 V: 1.19 	 W: 0.39 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.19 	 W: 0.77 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.19 	 W: 0.77 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.19 	 W: 0.77 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.19 	 W: 0.77 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.33 	 V: 1.19 	 W: 0.39 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.19 	 W: 0.77 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.16 	 W: 0.76 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.16 	 W: 0.76 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.16 	 W: 0.76 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.16 	 W: 0.76 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.16 	 W: 0.76 	 Thr: 0 	 Hz: 85
T: 0.01 	 C: 0.65 	 V: 1.16 	 W: 0.76 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.16 	 W: 0.76 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.16 	 W: 0.76 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.13 	 W: 0.74 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.13 	 W: 0.74 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.33 	 V: 1.13 	 W: 0.37 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.13 	 W: 0.74 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.13 	 W: 0.74 	 Thr: 0 	 Hz: 84
