START
-0.00, 528, -0.00, 3740, 25.43, 6956, -0.00, 10, -6244, 17
-0.00, 9012, -0.33, 12348, 25.55, 15596, -8.32, 10, 13960, 116
-0.00, 17864, -0.33, 21220, 25.46, 24428, -8.29, 10, 13960, 113
0.00, 26804, -0.33, 30148, 25.49, 33388, -8.30, 10, 13960, 112
0.00, 26804, -0.33, 38572, 25.46, 41788, -8.29, 10, 33968, 119
-0.00, 44068, -0.33, 47412, 25.46, 50636, -8.29, 10, 33968, 113
-0.00, 53044, -0.65, 56388, 25.46, 59604, -16.58, 10, 53976, 111
-0.00, 53044, -0.33, 64780, 25.43, 67996, -8.28, 10, 53976, 119
-0.00, 70280, -0.33, 73636, 25.46, 76876, -8.29, 10, 73980, 113
0.00, 79256, -0.33, 82596, 25.46, 85804, -8.29, 10, 73980, 112
0.00, 88080, -0.33, 91436, 25.55, 94692, -8.32, 10, 93988, 113
0.00, 88080, -0.33, 99836, 25.43, 103052, -8.28, 10, 93988, 120
0.00, 105440, -0.33, 108772, 25.43, 111988, -8.28, 10, 93988, 112
0.00, 114380, -0.33, 117720, 25.46, 120932, -8.29, 10, 113992, 112
-0.00, 123300, -0.33, 126660, 25.46, 129876, -8.29, 10, 113992, 112
-0.00, 123300, -0.65, 135276, 25.46, 138492, -16.58, 10, 134004, 116
-0.00, 140896, -0.33, 144268, 25.43, 147484, -8.28, 10, 134004, 111
0.00, 149864, -0.33, 153252, 25.52, 156484, -8.31, 10, 154012, 111
0.00, 158944, -0.33, 162300, 25.46, 165516, -8.29, 10, 154012, 111
0.00, 158944, -0.33, 170772, 25.52, 173996, -8.31, 10, 174024, 117
-0.00, 176400, -0.33, 179780, 25.43, 182988, -8.28, 10, 174024, 112
0.00, 185468, -0.33, 188828, 25.46, 192044, -8.29, 10, 174024, 110
0.00, 194464, -0.33, 197828, 25.46, 201036, -8.29, 10, 194024, 111
0.00, 194464, -0.33, 206292, 25.43, 209516, -8.28, 10, 194024, 118
0.00, 211976, -0.65, 215356, 25.43, 218572, -16.56, 10, 214032, 110
0.00, 220956, -0.33, 224332, 25.46, 227548, -8.29, 10, 214032, 111
0.00, 229916, -0.33, 233300, 25.52, 236520, -8.31, 10, 234036, 111
0.00, 229916, -0.33, 241836, 25.43, 245052, -8.28, 10, 234036, 117
-0.00, 247416, -0.33, 250788, 25.52, 254004, -8.31, 10, 254044, 111
0.00, 256404, -0.33, 259780, 25.46, 262996, -8.29, 10, 254044, 112
-0.00, 265456, -0.33, 268812, 25.46, 272028, -8.29, 10, 254044, 111
-0.00, 265456, -0.33, 277340, 25.43, 280556, -8.28, 10, 274048, 117
0.00, 282928, -0.33, 286308, 25.43, 289524, -8.28, 10, 274048, 111
0.00, 291988, -0.65, 295364, 25.46, 298580, -16.58, 10, 294056, 110
0.00, 300964, -0.33, 304332, 25.46, 307548, -8.29, 10, 294056, 112
0.00, 300964, -0.33, 312796, 25.52, 316044, -8.31, 10, 314060, 118
-0.00, 318508, -0.33, 321852, 25.43, 325068, -8.28, 10, 314060, 111
-0.00, 327452, -0.33, 330828, 25.52, 334044, -8.31, 10, 334068, 111
0.00, 336448, -0.33, 339820, 25.43, 343036, -8.28, 10, 334068, 112
0.00, 336448, -0.33, 348332, 25.41, 351548, -8.27, 10, 334068, 117
0.00, 353932, -0.33, 357312, 25.43, 360524, -8.28, 10, 354072, 111
-0.00, 362892, -0.33, 366260, 25.43, 369476, -8.28, 10, 354072, 112
0.01, 371944, -0.65, 375316, 25.43, 378532, -16.56, 10, 374080, 110
0.01, 371944, -0.33, 383796, 25.43, 387020, -8.28, 10, 374080, 118
-0.01, 389384, -0.33, 392748, 25.49, 395964, -8.30, 10, 394084, 112
0.01, 398456, -0.33, 401820, 25.41, 405036, -8.27, 10, 394084, 110
-0.00, 407404, -0.33, 410756, 25.52, 413996, -8.31, 10, 414092, 111
-0.00, 407404, -0.33, 419292, 25.41, 422508, -8.27, 10, 414092, 118
0.01, 424980, -0.33, 428324, 25.41, 431540, -8.27, 10, 414092, 111
0.00, 433920, -0.33, 437308, 25.43, 440524, -8.28, 10, 434096, 111
0.00, 442892, -0.33, 446236, 25.43, 449452, -8.28, 10, 434096, 112
0.00, 442892, -0.65, 454812, 25.41, 458028, -16.54, 10, 454108, 117
0.00, 460408, -0.33, 463788, 25.41, 467004, -8.27, 10, 454108, 111
0.00, 469364, -0.33, 472724, 25.52, 475948, -8.31, 10, 474112, 112
0.00, 478408, -0.33, 481756, 25.43, 484972, -8.28, 10, 474112, 111
0.00, 478408, -0.33, 490236, 25.46, 493452, -8.29, 10, 474112, 118
0.00, 495852, -0.33, 499188, 25.43, 502404, -8.28, 10, 494120, 112
0.00, 504864, -0.33, 508212, 25.43, 511436, -8.28, 10, 494120, 111
0.00, 513820, -0.33, 517196, 25.43, 520412, -8.28, 10, 514124, 111
0.00, 513820, -0.33, 525660, 25.43, 528876, -8.28, 10, 514124, 118
0.01, 531328, -0.65, 534700, 25.43, 537916, -16.56, 10, 534132, 111
0.01, 540308, -0.33, 543684, 25.46, 546892, -8.29, 10, 534132, 111
0.01, 549264, -0.33, 552628, 25.55, 555844, -8.32, 10, 554136, 112
0.01, 549264, -0.33, 561164, 25.43, 564380, -8.28, 10, 554136, 117
0.01, 566744, -0.33, 570116, 25.46, 573332, -8.29, 10, 554136, 112
0.01, 575736, -0.33, 579108, 25.46, 582324, -8.29, 10, 574144, 111
0.01, 584792, -0.33, 588156, 25.46, 591372, -8.29, 10, 574144, 111
0.01, 584792, -0.65, 596716, 25.43, 599932, -16.56, 10, 594148, 117
0.01, 602332, -0.33, 605692, 25.43, 608908, -8.28, 10, 594148, 111
0.01, 611372, -0.65, 614724, 25.43, 617940, -16.56, 10, 614156, 111
0.01, 620324, -0.33, 623692, 25.46, 626908, -8.29, 10, 614156, 111
0.01, 620324, -0.33, 632164, 25.52, 635372, -8.31, 10, 634160, 118
0.01, 637836, -0.33, 641188, 25.43, 644404, -8.28, 10, 634160, 111
0.01, 646772, -0.33, 650148, 25.46, 653388, -8.29, 10, 634160, 111
0.01, 655792, -0.33, 659164, 25.43, 662380, -8.28, 10, 654168, 111
0.01, 655792, -0.33, 667740, 25.43, 670956, -8.28, 10, 654168, 117
0.01, 673344, -0.65, 676732, 25.43, 679948, -16.56, 10, 674172, 111
0.02, 682332, -0.33, 685692, 25.43, 688908, -8.28, 10, 674172, 112
0.02, 691372, -0.65, 694748, 25.46, 697964, -16.58, 10, 694180, 110
0.02, 691372, -0.33, 703268, 25.43, 706492, -8.28, 10, 694180, 117
0.02, 708860, -0.33, 712196, 25.52, 715404, -8.31, 10, 714184, 112
0.02, 717868, -0.33, 721212, 25.43, 724428, -8.28, 10, 714184, 111
0.02, 726796, -0.33, 730164, 25.46, 733380, -8.29, 10, 714184, 112
0.02, 726796, -0.00, 738652, 25.43, 741868, -0.00, 10, 734192, 118
0.03, 744224, -0.33, 747588, 25.43, 750804, -8.28, 10, 734192, 112
0.03, 753196, -0.65, 756572, 25.43, 759788, -16.56, 10, 754196, 111
0.03, 762176, -0.33, 765548, 25.46, 768772, -8.29, 10, 754196, 111
0.03, 762176, -0.65, 774120, 25.46, 777332, -16.58, 10, 774204, 117
0.03, 779720, -0.33, 783100, 25.43, 786316, -8.28, 10, 774204, 111
0.03, 788692, -0.33, 792036, 25.55, 795252, -8.32, 10, 794208, 112
0.04, 797716, -0.33, 801068, 25.43, 804292, -8.28, 10, 794208, 111
0.04, 797716, -0.33, 809564, 25.43, 812780, -8.28, 10, 794208, 118
0.03, 815204, -0.33, 818564, 25.43, 821780, -8.28, 10, 814216, 111
0.04, 824244, -0.33, 827612, 25.43, 830828, -8.28, 10, 814216, 111
0.04, 833220, -0.65, 836596, 25.41, 839820, -16.54, 10, 834220, 111
0.04, 833220, -0.33, 845100, 25.32, 848324, -8.24, 10, 834220, 118
